ReconstructionWithConfidenceIntervalTimeSeries

  Year	Obs RO (mm)	Reconstructed	Lower 50% CI	Upper 50% CI
  1878	         NA	    826.158	    666.971	    985.345
   1879	         NA	    731.905	    572.718	    891.092
   1880	         NA	    547.256	    388.069	    706.443
   1881	         NA	     790.72	    631.533	    949.907
   1882	         NA	    816.627	     657.44	    975.814
   1883	         NA	    601.407	     442.22	    760.594
   1884	         NA	    1385.93	    1226.74	    1545.12
   1885	         NA	    1045.78	    886.597	    1204.97
   1886	         NA	     442.75	    283.563	    601.937
   1887	         NA	    1077.45	    918.262	    1236.64
   1888	         NA	    668.616	    509.429	    827.803
   1889	         NA	    332.622	    173.435	    491.809
   1890	         NA	    719.291	    560.104	    878.478
   1891	         NA	    930.214	    771.027	     1089.4
   1892	         NA	     635.82	    476.633	    795.007
   1893	         NA	    884.606	    725.419	    1043.79
   1894	         NA	    850.162	    690.975	    1009.35
   1895	         NA	     839.42	    680.233	    998.607
   1896	         NA	    872.372	    713.185	    1031.56
   1897	         NA	    1017.08	    857.891	    1176.27
   1898	         NA	    435.141	    275.954	    594.328
   1899	         NA	    590.747	     431.56	    749.934
   1900	         NA	    970.176	    810.988	    1129.36
   1901	         NA	    704.551	    545.364	    863.738
   1902	         NA	    325.624	    166.437	    484.811
   1903	         NA	    939.995	    780.808	    1099.18
   1904	         NA	     704.72	    545.533	    863.908
   1905	         NA	    606.629	    447.442	    765.816
   1906	         NA	    1034.31	    875.122	     1193.5
   1907	         NA	    1408.95	    1249.76	    1568.13
   1908	         NA	    799.468	     640.28	    958.655
   1909	         NA	    782.218	    623.031	    941.405
   1910	         NA	    499.939	    340.752	    659.126
   1911	         NA	     908.19	    749.003	    1067.38
   1912	         NA	    484.596	    325.409	    643.783
   1913	         NA	    1393.95	    1234.76	    1553.14
   1914	         NA	    684.664	    525.477	    843.851
   1915	         NA	    705.101	    545.914	    864.288
   1916	         NA	    1068.08	    908.891	    1227.26
   1917	         NA	    537.539	    378.352	    696.726
   1918	         NA	     668.95	    509.763	    828.137
   1919	         NA	    652.024	    492.836	    811.211
   1920	         NA	    602.511	    443.324	    761.698
   1921	         NA	    986.095	    826.908	    1145.28
   1922	         NA	    235.421	    76.2337	    394.608
   1923	         NA	    963.694	    804.507	    1122.88
   1924	         NA	   -121.637	   -280.824	    37.5502
   1925	         NA	    1093.82	    934.632	    1253.01
   1926	         NA	    361.164	    201.977	    520.351
   1927	         NA	    706.707	     547.52	    865.894
   1928	         NA	    530.396	    371.209	    689.584
   1929	         NA	    162.458	    3.27119	    321.645
   1930	         NA	    597.957	     438.77	    757.144
   1931	         NA	    759.287	      600.1	    918.474
   1932	         NA	    231.212	    72.0254	      390.4
   1933	         NA	    191.584	     32.397	    350.771
   1934	         NA	    551.254	    392.067	    710.441
   1935	         NA	    166.166	    6.97855	    325.353
   1936	         NA	    590.433	    431.246	     749.62
   1937	         NA	    354.254	    195.067	    513.441
   1938	         NA	     863.81	    704.623	       1023
   1939	         NA	    257.332	     98.145	    416.519
   1940	         NA	    1097.67	    938.482	    1256.86
   1941	         NA	    890.702	    731.515	    1049.89
   1942	         NA	    988.832	    829.644	    1148.02
   1943	         NA	    870.451	    711.264	    1029.64
   1944	         NA	    432.118	     272.93	    591.305
   1945	    557.145	    957.553	    798.366	    1116.74
   1946	    718.898	    594.352	    435.165	     753.54
   1947	    336.692	     701.21	    542.023	    860.397
   1948	    411.686	     454.77	    295.583	    613.957
   1949	    327.986	    497.145	    337.958	    656.333
   1950	    673.295	    829.427	     670.24	    988.615
   1951	    875.942	    858.374	    699.187	    1017.56
   1952	    1455.67	    887.002	    727.815	    1046.19
   1953	    1100.02	    935.374	    776.187	    1094.56
   1954	    397.005	    726.863	    567.676	     886.05
   1955	    316.997	     352.05	    192.863	    511.237
   1956	    1125.48	    825.941	    666.754	    985.128
   1957	     541.03	    668.203	    509.016	     827.39
   1958	    1000.32	    999.816	    840.629	       1159
   1959	    325.048	    378.803	    219.616	     537.99
   1960	    369.318	    321.896	    162.709	    481.083
   1961	      237.4	    365.601	    206.414	    524.788
   1962	      539.1	    533.757	     374.57	    692.944
   1963	      926.6	    964.745	    805.558	    1123.93
   1964	      449.5	    694.848	    535.661	    854.035
   1965	     1061.4	    1137.95	    978.759	    1297.13
   1966	      444.1	    183.208	    24.0213	    342.396
   1967	     1159.6	    846.871	    687.684	    1006.06
   1968	      464.4	    659.169	    499.982	    818.357
   1969	     1263.6	    1049.64	    890.457	    1208.83
   1970	      810.4	    491.196	    332.009	    650.384
   1971	      853.4	    1057.09	    897.904	    1216.28
   1972	      496.7	    593.262	    434.075	     752.45
   1973	      699.4	    347.783	    188.596	     506.97
   1974	      938.1	    819.594	    660.407	    978.781
   1975	      753.7	    588.943	    429.756	    748.131
   1976	      258.3	    281.618	    122.431	    440.805
   1977	      135.4	    613.182	    453.995	    772.369
   1978	      748.9	    768.446	    609.259	    927.633
   1979	      522.2	    593.547	     434.36	    752.734
   1980	     1063.8	    1299.48	    1140.29	    1458.67
   1981	      312.9	    283.684	    124.497	    442.871
   1982	     1489.5	    1226.95	    1067.77	    1386.14
   1983	     1762.8	    1191.26	    1032.07	    1350.45
   1984	     1107.5	    974.973	    815.786	    1134.16
   1985	      512.6	    543.322	    384.135	    702.509
   1986	     1231.5	    1406.16	    1246.97	    1565.35
   1987	      287.9	     21.938	   -137.249	    181.125
   1988	      178.1	     130.42	   -28.7667	    289.608
   1989	      560.7	    848.731	    689.543	    1007.92
   1990	        303	    417.021	    257.834	    576.208
   1991	      283.6	    593.093	    433.905	     752.28
   1992	      217.2	    271.163	    111.976	     430.35
   1993	      874.3	    867.939	    708.752	    1027.13
   1994	      226.9	     238.84	    79.6533	    398.027
   1995	     1433.3	    1141.36	    982.174	    1300.55
   1996	     1040.6	     813.72	    654.533	    972.907
   1997	     1295.3	    747.823	    588.636	     907.01
   1998	     1015.7	    1131.38	    972.188	    1290.56
   1999	      949.9	    974.167	    814.979	    1133.35
   2000	      563.2	    934.305	    775.118	    1093.49
   2001	        269	   -371.964	   -531.151	   -212.777
   2002	      442.5	    666.611	    507.423	    825.798
   2003	      573.9	    923.115	    763.928	     1082.3
   2004	      423.7	     520.52	    361.333	    679.707
   2005	      791.1	    837.096	    677.909	    996.283
   2006	     1345.2	    919.205	    760.018	    1078.39
   2007	      337.3	    499.516	    340.329	    658.704
   2008	      344.7	     810.81	    651.622	    969.997
   2009	      479.9	     538.85	    379.663	    698.037
   2010	      598.2	    1180.07	    1020.88	    1339.25
   2011	     1317.6	    911.062	    751.875	    1070.25
   2012	      372.2	    771.247	     612.06	    930.434
   2013	      339.5	    728.335	    569.148	    887.522
   2014	      212.5	    630.963	    471.776	     790.15
   2015	      181.1	    770.797	     611.61	    929.984
   2016	      626.6	    514.205	    355.018	    673.392
   2017	     2150.3	    922.458	    763.271	    1081.64
   2018	        717	    933.142	    773.955	    1092.33
   2019	     1067.8	    1322.21	    1163.02	     1481.4
   2020	      380.2	    1159.95	    1000.76	    1319.13
   2021	      187.6	         NA	         NA	         NA
   2022	      505.3	         NA	         NA	         NA
   2023	     1003.4	         NA	         NA	         NA
