ReconstructionWithConfidenceIntervalTimeSeries

  Year	Obs RO (mm)	Reconstructed	Lower 50% CI	Upper 50% CI

  1876	         NA	    718.428	    545.961	    890.896
   1877	         NA	    471.683	    299.216	    644.151
   1878	         NA	    716.664	    544.197	    889.132
   1879	         NA	    832.177	    659.709	    1004.64
   1880	         NA	    417.701	    245.233	    590.168
   1881	         NA	    745.196	    572.729	    917.663
   1882	         NA	    809.486	    637.018	    981.953
   1883	         NA	    651.899	    479.432	    824.366
   1884	         NA	    1285.19	    1112.72	    1457.66
   1885	         NA	    1157.32	     984.85	    1329.79
   1886	         NA	    340.355	    167.888	    512.822
   1887	         NA	    877.069	    704.601	    1049.54
   1888	         NA	    679.236	    506.768	    851.703
   1889	         NA	    467.376	    294.908	    639.843
   1890	         NA	    637.702	    465.235	    810.169
   1891	         NA	    901.551	    729.084	    1074.02
   1892	         NA	     697.79	    525.322	    870.257
   1893	         NA	    908.083	    735.615	    1080.55
   1894	         NA	    1019.95	    847.482	    1192.42
   1895	         NA	    781.567	      609.1	    954.035
   1896	         NA	    759.857	     587.39	    932.325
   1897	         NA	    836.468	    664.001	    1008.94
   1898	         NA	    471.469	    299.001	    643.936
   1899	         NA	    634.896	    462.429	    807.363
   1900	         NA	    1160.94	     988.47	    1333.41
   1901	         NA	    902.294	    729.827	    1074.76
   1902	         NA	    379.579	    207.111	    552.046
   1903	         NA	    657.179	    484.712	    829.646
   1904	         NA	    672.735	    500.268	    845.202
   1905	         NA	     628.25	    455.783	    800.717
   1906	         NA	    1087.36	    914.893	    1259.83
   1907	         NA	    1520.19	    1347.72	    1692.66
   1908	         NA	      789.6	    617.133	    962.067
   1909	         NA	    710.724	    538.257	    883.191
   1910	         NA	    529.017	     356.55	    701.485
   1911	         NA	     929.78	    757.312	    1102.25
   1912	         NA	    634.378	    461.911	    806.845
   1913	         NA	    1170.65	    998.187	    1343.12
   1914	         NA	    704.059	    531.591	    876.526
   1915	         NA	    582.104	    409.637	    754.571
   1916	         NA	    761.604	    589.136	    934.071
   1917	         NA	    603.571	    431.104	    776.038
   1918	         NA	    586.141	    413.673	    758.608
   1919	         NA	    682.526	    510.059	    854.993
   1920	         NA	    718.998	    546.531	    891.465
   1921	         NA	    1057.19	    884.726	    1229.66
   1922	         NA	    337.243	    164.776	    509.711
   1923	         NA	    1055.87	      883.4	    1228.33
   1924	         NA	   -149.449	   -321.916	    23.0188
   1925	         NA	    1207.15	    1034.68	    1379.62
   1926	         NA	    756.746	    584.279	    929.214
   1927	         NA	    550.668	    378.201	    723.136
   1928	         NA	     572.48	    400.013	    744.947
   1929	         NA	    363.787	    191.319	    536.254
   1930	         NA	    832.948	     660.48	    1005.42
   1931	         NA	     664.92	    492.453	    837.387
   1932	         NA	    538.386	    365.919	    710.853
   1933	         NA	    321.703	    149.236	    494.171
   1934	         NA	    550.795	    378.328	    723.263
   1935	         NA	    350.334	    177.867	    522.802
   1936	         NA	    650.737	     478.27	    823.204
   1937	         NA	    291.487	     119.02	    463.954
   1938	         NA	    738.287	     565.82	    910.755
   1939	         NA	        176	    3.53243	    348.467
   1940	         NA	    960.526	    788.059	    1132.99
   1941	         NA	    1084.33	    911.864	     1256.8
   1942	         NA	    945.439	    772.972	    1117.91
   1943	         NA	    964.391	    791.923	    1136.86
   1944	         NA	    553.078	    380.611	    725.545
   1945	    557.145	    980.364	    807.896	    1152.83
   1946	    718.898	    792.847	     620.38	    965.315
   1947	    336.692	    617.026	    444.558	    789.493
   1948	    411.686	    542.312	    369.845	    714.779
   1949	    327.986	    519.163	    346.696	     691.63
   1950	    673.295	    734.998	     562.53	    907.465
   1951	    875.942	    910.317	     737.85	    1082.78
   1952	    1455.67	    888.378	    715.911	    1060.85
   1953	    1100.02	    940.366	    767.899	    1112.83
   1954	    397.005	    524.088	    351.621	    696.555
   1955	    316.997	    560.474	    388.007	    732.942
   1956	    1125.48	    893.825	    721.358	    1066.29
   1957	     541.03	    823.529	    651.062	    995.996
   1958	    1000.32	    936.139	    763.672	    1108.61
   1959	    325.048	    334.726	    162.259	    507.193
   1960	    369.318	    163.876	   -8.59095	    336.344
   1961	      237.4	    545.027	     372.56	    717.495
   1962	      539.1	    791.428	     618.96	    963.895
   1963	      926.6	    1056.75	    884.287	    1229.22
   1964	      449.5	    604.605	    432.138	    777.072
   1965	     1061.4	    1153.31	    980.848	    1325.78
   1966	      444.1	    481.329	    308.862	    653.796
   1967	     1159.6	     869.29	    696.823	    1041.76
