Table1-SSR1 - Statistics of single site reconstruction (SSR) models

  N1  N2    Site    Goc Endc   Model   R2a       pF    REcv   REa   REb  Refit   Gor  Endr Reject
   1   1   ca677   1945 1999   00100  0.45  1.4E-08    0.44  0.44  0.13  FALSE  1876  2010  FALSE
   2   2     LEM   1945 1999   00100  0.22  0.00018    0.21  0.24 -0.35  FALSE  1876  2020   TRUE
   3   3   ca632   1945 1999   00100  0.06    0.037    0.06  0.06  0.10   TRUE  1876  1999  FALSE
   4   4   ca631   1945 1999   01000  0.01     0.18   -0.04 -0.25 -0.39   TRUE  1877  1999   TRUE
   5   5     CPR   1945 1999   30120  0.14    0.014    0.06  0.17 -0.03  FALSE  1878  2019   TRUE
   6   6   ca691   1945 1999   00210  0.18   0.0024    0.16  0.20 -0.18  FALSE  1876  2014   TRUE
   7   7   ca692   1945 1999   00010  0.41  9.1E-08    0.39  0.46 -0.09  FALSE  1876  2014   TRUE
   8   8     IVJ   1945 1998   00021  0.05    0.095    0.07  0.08 -0.17  FALSE  1876  1998   TRUE
   9   9     IVP   1945 1998   00001  0.06    0.047    0.07  0.06  0.11  FALSE  1876  1998  FALSE
  10  10   ca698   1945 1999   00100  0.03    0.093   -0.04  0.06  0.04  FALSE  1876  2014   TRUE
  11  11     LTV   1945 1999   10000 -0.00     0.34   -0.02 -0.02 -0.09  FALSE  1878  2020   TRUE
  12  12     SSP   1945 1999   00100  0.39  1.8E-07    0.40  0.47  0.13   TRUE  1876  1999  FALSE
  13  13     GMH   1945 1998   00102  0.20   0.0012    0.19  0.22  0.14  FALSE  1876  1998  FALSE
  14  14    BLJP   1945 1998   00001  0.01     0.26    0.00 -0.11 -0.00  FALSE  1876  1998   TRUE
  15  15    BLSP   1945 1998   00001  0.05    0.051    0.03  0.05  0.10  FALSE  1876  1998   TRUE
  16  16   ca630   1945 1999   00100  0.01      0.2    0.00  0.03  0.06   TRUE  1876  1999   TRUE
  17  17     LUR   1945 1999   00120  0.18    0.002    0.17  0.21 -0.07  FALSE  1876  2019   TRUE
  18  18    DGSa   1945 1999   20100  0.17   0.0028    0.15  0.19  0.22  FALSE  1878  2001  FALSE
  19  19   ca678   1945 1999   00100  0.32  4.8E-06    0.32  0.36  0.13  FALSE  1876  2010  FALSE
  20  20     NOD   1945 1999   10000 -0.01      0.6   -0.09 -0.00 -0.07  FALSE  1878  2002   TRUE
  21  21    KAIM   1945 1999   20100  0.17   0.0029    0.16  0.11  0.32  FALSE  1878  2011  FALSE
  22  22   LEM.e   1945 1999   00100  0.19  0.00044    0.18  0.21 -0.36  FALSE  1876  2020   TRUE
  23  23   CPR.e   1945 1999   00120  0.07     0.05    0.01  0.05 -0.11   TRUE  1876  2019   TRUE
  24  24 ca691.e   1945 1999   00010  0.16   0.0015    0.15  0.19  0.01  FALSE  1876  2014  FALSE
  25  25 ca692.e   1945 1999   00010  0.44  2.1E-08    0.42  0.50 -0.06  FALSE  1876  2013   TRUE
  26  26   LTV.e   1945 1999   10000  0.01     0.24   -0.01 -0.05 -0.12  FALSE  1878  2020   TRUE
  27  27   LUR.e   1945 1999   00120  0.17   0.0028    0.17  0.20 -0.07  FALSE  1876  2019   TRUE
  28  28   LEM.l   1945 1999   00100  0.29  1.4E-05    0.24  0.29 -0.34  FALSE  1876  2020   TRUE
  29  29   CPR.l   1945 1999   20100  0.20   0.0011    0.21  0.26  0.01   TRUE  1878  2020  FALSE
  30  30 ca691.l   1945 1999   00120  0.25   0.0002    0.24  0.28 -0.11  FALSE  1876  2014   TRUE
  31  31 ca692.l   1945 1999   32010  0.27  0.00024    0.22  0.16 -0.59  FALSE  1878  2013   TRUE
  32  32   LTV.l   1945 1999   00100  0.09    0.017    0.07  0.09  0.12  FALSE  1876  2020  FALSE
  33  33   LUR.l   1945 1999   00210  0.17   0.0026    0.17  0.17 -0.16  FALSE  1876  2019   TRUE
  34  34   LEM.b   1945 1999   00100  0.23  0.00013    0.22  0.25 -0.43  FALSE  1876  2020   TRUE
  35  35   CPR.b   1945 1999   00100  0.13   0.0037    0.14  0.16  0.11  FALSE  1876  2020  FALSE
  36  36   LTV.b   1945 1999   00102  0.10    0.021    0.08  0.04 -0.01  FALSE  1876  2017   TRUE
  37  37   LUR.b   1945 1999   00010  0.04    0.081    0.02  0.00  0.08  FALSE  1876  2019   TRUE
