 Year	   ca677	     LEM	   ca632	   ca631	     CPR	   ca691	   ca692	     IVJ	     IVP	   ca698	     LTV	     SSP	     GMH	    BLJP	    BLSP	   ca630	     LUR	    DGSa	   ca678	     NOD	    KAIM	   LEM.e	   CPR.e	 ca691.e	 ca692.e	   LTV.e	   LUR.e	   LEM.l	   CPR.l	 ca691.l	 ca692.l	   LTV.l	   LUR.l	   LEM.b	   CPR.b	   LTV.b	   LUR.b
 1876	   0.851	   0.947	   0.855	   0.963	   0.966	   0.979	   0.787	   0.849	   0.935	   0.814	   0.556	   0.891	   0.855	   0.956	   1.013	   0.711	   0.965	   1.164	   1.095	   0.988	   0.859	   0.901	   0.970	   1.006	   0.762	   0.525	   0.998	   1.151	   0.946	   0.956	   0.921	   0.706	   0.896	   1.124	   0.913	   0.945	   0.964
 1877	   0.943	   1.046	   1.199	   1.608	   1.097	   1.187	   1.268	   1.185	   1.082	   1.305	   0.967	   0.794	   1.077	   1.199	   1.143	   1.118	   1.106	   1.127	   1.054	   1.001	   0.846	   1.086	   1.134	   1.244	   1.333	   0.955	   1.142	   0.831	   0.941	   1.108	   1.100	   0.963	   0.962	   0.937	   1.092	   1.041	   1.033
 1878	   0.918	   1.124	   1.056	   1.160	   1.139	   1.035	   1.000	   1.120	   1.014	   0.982	   0.734	   0.974	   0.991	   0.958	   0.932	   1.034	   1.120	   1.216	   1.107	   0.926	   1.007	   1.149	   1.145	   1.054	   0.992	   0.729	   1.139	   0.978	   1.142	   1.032	   1.078	   0.769	   1.031	   1.037	   1.028	   0.967	   1.053
 1879	   1.122	   1.163	   1.047	   1.115	   1.118	   1.092	   1.028	   1.127	   0.951	   1.193	   1.033	   1.129	   1.096	   1.034	   0.996	   1.090	   1.115	   1.017	   1.344	   0.992	   0.987	   1.153	   1.084	   1.116	   1.090	   1.024	   1.098	   1.197	   1.272	   0.979	   0.961	   1.059	   1.140	   1.100	   1.103	   1.004	   1.037
 1880	   0.644	   0.803	   0.893	   0.824	   0.931	   0.847	   0.825	   0.927	   0.851	   0.871	   0.827	   0.822	   0.886	   0.972	   0.911	   0.983	   0.928	   0.961	   0.945	   0.853	   0.920	   0.800	   0.942	   0.829	   0.805	   0.826	   0.950	   0.812	   0.927	   0.853	   0.899	   0.831	   0.857	   0.976	   0.954	   1.016	   0.872
 1881	   0.952	   1.020	   0.968	   1.243	   0.943	   1.087	   1.014	   0.998	   0.859	   0.961	   1.012	   0.922	   0.959	   0.830	   0.918	   1.206	   1.020	   0.916	   1.136	   1.030	   1.087	   1.017	   0.919	   1.066	   1.045	   0.978	   0.990	   1.030	   1.042	   1.102	   0.954	   1.104	   1.146	   1.048	   1.048	   1.038	   1.051
 1882	   0.877	   0.937	   0.874	   1.057	   1.054	   1.061	   1.035	   1.082	   1.002	   1.017	   1.102	   1.070	   0.983	   1.054	   1.063	   1.169	   1.037	   1.531	   0.994	   1.092	   1.017	   0.936	   1.044	   1.057	   1.114	   1.140	   1.071	   0.934	   1.098	   0.990	   0.992	   0.903	   0.933	   1.033	   0.919	   0.987	   0.849
 1883	   0.883	   0.751	   0.833	   0.929	   0.703	   0.932	   0.860	   0.918	   0.873	   0.802	   0.890	   1.093	   0.908	   0.969	   0.996	   0.933	   0.867	   0.722	   0.801	   0.881	   0.923	   0.760	   0.710	   0.912	   0.898	   0.891	   0.853	   0.744	   0.651	   0.882	   0.883	   0.860	   0.916	   0.910	   1.059	   0.998	   0.987
 1884	   1.054	   1.018	   1.036	   1.098	   0.928	   0.927	   0.647	   1.042	   0.993	   1.063	   0.945	   1.217	   0.678	   1.081	   1.103	   1.149	   0.968	   0.973	   0.971	   1.041	   1.261	   0.995	   0.957	   0.908	   0.561	   0.920	   1.013	   1.137	   0.801	   0.923	   0.807	   1.059	   0.805	   0.939	   0.703	   0.942	   0.824
 1885	   1.364	   1.357	   1.444	   1.583	   1.089	   1.059	   1.038	   1.269	   1.053	   1.495	   1.336	   1.313	   0.883	   1.106	   1.052	   1.436	   1.245	   1.175	   1.238	   1.596	   1.417	   1.315	   1.048	   1.040	   1.004	   1.262	   1.207	   1.562	   1.270	   1.024	   0.974	   1.608	   1.384	   1.062	   1.057	   1.073	   1.123
