 Year	   Value
 1945	 557.145
 1946	 718.898
 1947	 336.692
 1948	 411.686
 1949	 327.986
 1950	 673.295
 1951	 875.942
 1952	1455.671
 1953	1100.015
 1954	 397.005
 1955	 316.997
 1956	1125.485
 1957	 541.030
 1958	1000.319
 1959	 325.048
 1960	 369.318
 1961	 237.400
 1962	 539.100
 1963	 926.600
 1964	 449.500
 1965	1061.400
 1966	 444.100
 1967	1159.600
 1968	 464.400
 1969	1263.600
 1970	 810.400
 1971	 853.400
 1972	 496.700
 1973	 699.400
 1974	 938.100
 1975	 753.700
 1976	 258.300
 1977	 135.400
 1978	 748.900
 1979	 522.200
 1980	1063.800
 1981	 312.900
 1982	1489.500
 1983	1762.800
 1984	1107.500
 1985	 512.600
 1986	1231.500
 1987	 287.900
 1988	 178.100
 1989	 560.700
 1990	 303.000
 1991	 283.600
 1992	 217.200
 1993	 874.300
 1994	 226.900
 1995	1433.300
 1996	1040.600
 1997	1295.300
 1998	1015.700
 1999	 949.900
 2000	 563.200
 2001	 269.000
 2002	 442.500
 2003	 573.900
 2004	 423.700
 2005	 791.100
 2006	1345.200
 2007	 337.300
 2008	 344.700
 2009	 479.900
 2010	 598.200
 2011	1317.600
 2012	 372.200
 2013	 339.500
 2014	 212.500
 2015	 181.100
 2016	 626.600
 2017	2150.300
 2018	 717.000
 2019	1067.800
 2020	 380.200
 2021	 187.600
 2022	 505.300
 2023	1003.400
