Table1-SSR1 - Statistics of single site reconstruction (SSR) models

  N1  N2    Site    Goc Endc   Model   R2a       pF    REcv   REa   REb  Refit   Gor  Endr Reject
   1   1   ca677   1945 1999   00100  0.45  1.4E-08    0.44  0.44  0.13  FALSE  1876  2010  FALSE
   2   2     LEM   1945 1999   00100  0.22  0.00018    0.21  0.24 -0.35  FALSE  1876  2020   TRUE
   3   3   ca632   1945 1999   00100  0.06    0.037    0.06  0.06  0.10   TRUE  1876  1999  FALSE
   4   4   ca631   1945 1999   00100 -0.02     0.87   -0.02 -0.02 -0.01   TRUE  1876  1999   TRUE
   5   5     CPR   1945 1999   00100  0.08    0.022    0.04  0.11  0.04  FALSE  1876  2020  FALSE
   6   6   ca691   1945 1999   00100 -0.00     0.33   -0.00  0.02 -0.00  FALSE  1876  2015   TRUE
   7   7   ca692   1945 1999   00100 -0.01     0.54   -0.02 -0.01  0.01  FALSE  1876  2015   TRUE
   8   8     IVJ   1945 1999   00100 -0.01     0.62    0.00 -0.10 -0.03   TRUE  1876  2000   TRUE
   9   9     IVP   1945 1999   00100 -0.00     0.34   -0.04  0.01 -0.13   TRUE  1876  2000   TRUE
  10  10   ca698   1945 1999   00100  0.03    0.093   -0.04  0.06  0.04  FALSE  1876  2014   TRUE
  11  11     LTV   1945 1999   00100 -0.01     0.49   -0.04 -0.01  0.01  FALSE  1876  2020   TRUE
  12  12     SSP   1945 1999   00100  0.39  1.8E-07    0.40  0.47  0.13   TRUE  1876  1999  FALSE
  13  13     GMH   1945 1999   00100  0.11   0.0087    0.11  0.11  0.13   TRUE  1876  2000  FALSE
  14  14    BLJP   1945 1999   00100 -0.00     0.38   -0.00  0.01  0.02   TRUE  1876  2000   TRUE
  15  15    BLSP   1945 1999   00100 -0.01      0.5   -0.00  0.00  0.01   TRUE  1876  2000   TRUE
  16  16   ca630   1945 1999   00100  0.01      0.2    0.00  0.03  0.06   TRUE  1876  1999   TRUE
  17  17     LUR   1945 1999   00100  0.09    0.013    0.09  0.11  0.00  FALSE  1876  2020  FALSE
  18  18    DGSa   1945 1999   00100  0.15   0.0018    0.13  0.16  0.16  FALSE  1876  2001  FALSE
  19  19   ca678   1945 1999   00100  0.32  4.8E-06    0.32  0.36  0.13  FALSE  1876  2010  FALSE
  20  20     NOD   1945 1999   00100 -0.02     0.99   -0.15 -0.04 -0.03  FALSE  1876  2002   TRUE
  21  21    KAIM   1945 1999   00100  0.14   0.0032    0.12  0.13  0.23  FALSE  1876  2011  FALSE
  22  22   LEM.e   1945 1999   00100  0.19  0.00044    0.18  0.21 -0.36  FALSE  1876  2020   TRUE
  23  23   CPR.e   1945 1999   00100  0.04    0.067    0.00  0.07  0.07  FALSE  1876  2020   TRUE
  24  24 ca691.e   1945 1999   00100 -0.00     0.39   -0.01  0.01 -0.00  FALSE  1876  2015   TRUE
  25  25 ca692.e   1945 1999   00100 -0.01     0.45   -0.02 -0.01  0.02  FALSE  1876  2014   TRUE
  26  26   LTV.e   1945 1999   00100 -0.02     0.79   -0.04 -0.02  0.00  FALSE  1876  2020   TRUE
  27  27   LUR.e   1945 1999   00100  0.10    0.011    0.09  0.11  0.03  FALSE  1876  2020  FALSE
  28  28   LEM.l   1945 1999   00100  0.29  1.4E-05    0.24  0.29 -0.34  FALSE  1876  2020   TRUE
  29  29   CPR.l   1945 1999   00100  0.13   0.0037    0.09  0.12 -0.16  FALSE  1876  2020   TRUE
  30  30 ca691.l   1945 1999   00100  0.23  0.00011    0.21  0.25 -0.11  FALSE  1876  2015   TRUE
  31  31 ca692.l   1945 1999   00100 -0.02     0.96   -0.04 -0.07 -0.20  FALSE  1876  2014   TRUE
  32  32   LTV.l   1945 1999   00100  0.09    0.017    0.07  0.09  0.12  FALSE  1876  2020  FALSE
  33  33   LUR.l   1945 1999   00100  0.05    0.063    0.04  0.05 -0.16  FALSE  1876  2020   TRUE
  34  34   LEM.b   1945 1999   00100  0.23  0.00013    0.22  0.25 -0.43  FALSE  1876  2020   TRUE
  35  35   CPR.b   1945 1999   00100  0.13   0.0037    0.14  0.16  0.11  FALSE  1876  2020  FALSE
  36  36   LTV.b   1945 1999   00100  0.09    0.017    0.07  0.10 -0.06  FALSE  1876  2019   TRUE
  37  37   LUR.b   1945 1999   00100 -0.00     0.35   -0.04  0.01  0.03  FALSE  1876  2020   TRUE
