   N1	   N2	      Id	    Long	    Lat	 ElevM	Species	 T	FirstYear	 LastYear
    1	    1	   ca677	 -120.28	  39.57	  1688	   PIJE	 R	     1876	     2010
    2	    2	     LEM	 -120.25	  39.56	  2015	   PIJE	 R	     1876	     2020
    3	    3	   ca632	 -120.20	  39.55	  2268	   JUGR	 R	     1876	     1999
    4	    4	   ca631	 -120.55	  39.52	  1921	   JUGR	 R	     1876	     1999
    5	    5	     CPR	 -119.95	  39.46	  2507	   PIPO	 R	     1876	     2020
    6	    6	   ca691	 -120.31	  39.42	  2478	   ABMA	 R	     1876	     2015
    7	    7	   ca692	 -120.31	  39.42	  2478	   TSME	 R	     1876	     2015
    8	    8	     IVJ	 -119.96	  39.28	  2563	   JUGR	 R	     1876	     2000
    9	    9	     IVP	 -119.96	  39.27	  2332	   PIJE	 R	     1876	     2000
   10	   10	   ca698	 -120.35	  39.25	  1809	   JUGR	 R	     1876	     2014
   11	   11	     LTV	 -119.87	  39.25	  2006	   PIJE	 R	     1876	     2020
   12	   12	     SSP	 -119.94	  39.08	  2132	   PIJE	 R	     1876	     1999
   13	   13	     GMH	 -119.88	  39.04	  2728	   TSME	 R	     1876	     2000
   14	   14	    BLJP	 -120.11	  38.99	  2004	   PIJE	 R	     1876	     2000
   15	   15	    BLSP	 -120.11	  38.99	  2004	   PILA	 R	     1876	     2000
   16	   16	   ca630	 -119.99	  38.70	  2591	   JUGR	 R	     1876	     1999
   17	   17	     LUR	 -119.99	  38.80	  2416	   PIJE	 R	     1876	     2020
   18	   18	    DGSa	 -119.38	  38.35	  2370	   JUOC	 R	     1876	     2001
   19	   19	   ca678	 -119.15	  37.95	  2499	   PIJE	 R	     1876	     2010
   20	   20	     NOD	 -119.33	  37.46	  1539	   PIPO	 R	     1876	     2002
   21	   21	    KAIM	 -119.11	  37.31	  2730	   JUGR	 R	     1876	     2011
   22	   22	   LEM.e	 -120.25	  39.56	  2015	   PIJE	 E	     1876	     2020
   23	   23	   CPR.e	 -119.95	  39.46	  2507	   PIPO	 E	     1876	     2020
   24	   24	 ca691.e	 -120.31	  39.42	  2478	   ABMA	 E	     1876	     2015
   25	   25	 ca692.e	 -120.31	  39.42	  2478	   TSME	 E	     1876	     2014
   26	   26	   LTV.e	 -119.87	  39.25	  2006	   PIJE	 E	     1876	     2020
   27	   27	   LUR.e	 -119.99	  38.80	  2416	   PIJE	 E	     1876	     2020
   28	   28	   LEM.l	 -120.25	  39.56	  2015	   PIJE	 L	     1876	     2020
   29	   29	   CPR.l	 -119.95	  39.46	  2507	   PIPO	 L	     1876	     2020
   30	   30	 ca691.l	 -120.31	  39.42	  2478	   ABMA	 L	     1876	     2015
   31	   31	 ca692.l	 -120.31	  39.42	  2478	   TSME	 L	     1876	     2014
   32	   32	   LTV.l	 -119.87	  39.25	  2006	   PIJE	 L	     1876	     2020
   33	   33	   LUR.l	 -119.99	  38.80	  2416	   PIJE	 L	     1876	     2020
   34	   34	   LEM.b	 -120.25	  39.56	  2015	   PIJE	 B	     1876	     2020
   35	   35	   CPR.b	 -119.95	  39.46	  2507	   PIPO	 B	     1876	     2020
   36	   36	   LTV.b	 -119.87	  39.25	  2006	   PIJE	 B	     1876	     2019
   37	   37	   LUR.b	 -119.99	  38.80	  2416	   PIJE	 B	     1876	     2020
