 Year	   ca677	     LEM	   ca632	   ca631	     CPR	   ca691	   ca692	     IVJ	     IVP	   ca698	     LTV	     SSP	     GMH	    BLJP	    BLSP	   ca630	     LUR	    DGSa	   ca678	     NOD	    KAIM	   LEM.e	   CPR.e	 ca691.e	 ca692.e	   LTV.e	   LUR.e	   LEM.l	   CPR.l	 ca691.l	 ca692.l	   LTV.l	   LUR.l	   LEM.b	   CPR.b	   LTV.b	   LUR.b
 1876	   0.874	   0.929	   0.849	   0.897	   0.918	   0.972	   0.783	   0.889	   0.899	   0.716	   0.766	   0.957	   0.875	   0.956	   1.039	   0.737	   0.971	   1.178	   0.967	   0.919	   0.947	   0.883	   0.923	   0.968	   0.761	   0.752	   1.005	   1.133	   0.916	   0.934	   0.898	   0.764	   0.892	   1.119	   0.903	   0.952	   0.967
 1877	   0.986	   1.058	   1.211	   1.576	   1.110	   1.185	   1.276	   1.213	   1.086	   1.360	   1.186	   0.831	   1.141	   1.204	   1.148	   1.195	   1.124	   1.073	   0.973	   1.006	   0.912	   1.108	   1.141	   1.225	   1.321	   1.186	   1.151	   0.793	   0.955	   1.116	   1.111	   1.067	   0.980	   0.912	   1.090	   1.053	   1.005
 1878	   0.954	   1.111	   1.023	   0.950	   1.073	   0.952	   0.979	   1.058	   0.985	   0.858	   0.809	   1.034	   0.964	   0.909	   0.889	   1.030	   1.071	   1.144	   1.070	   0.919	   1.086	   1.120	   1.062	   0.960	   0.977	   0.809	   1.069	   1.004	   1.134	   0.990	   1.058	   0.787	   1.041	   1.043	   1.021	   0.970	   1.056
 1879	   1.160	   1.110	   0.993	   0.989	   1.034	   1.063	   0.990	   1.031	   0.952	   1.162	   1.155	   1.146	   1.093	   1.014	   0.993	   1.051	   1.057	   0.960	   1.263	   1.006	   1.014	   1.086	   0.999	   1.066	   1.040	   1.126	   1.039	   1.204	   1.187	   0.955	   0.931	   1.103	   1.120	   1.090	   1.087	   1.010	   1.023
 1880	   0.644	   0.734	   0.861	   0.774	   0.843	   0.824	   0.817	   0.879	   0.867	   0.797	   0.845	   0.798	   0.864	   0.966	   0.915	   0.956	   0.880	   0.913	   0.798	   0.860	   0.921	   0.728	   0.852	   0.801	   0.794	   0.847	   0.900	   0.769	   0.800	   0.866	   0.897	   0.835	   0.820	   0.952	   0.931	   1.012	   0.855
 1881	   1.052	   1.076	   0.992	   1.290	   0.963	   1.132	   1.041	   1.004	   0.907	   0.980	   1.079	   0.991	   0.997	   0.833	   0.942	   1.158	   1.036	   0.937	   1.130	   1.073	   1.119	   1.075	   0.935	   1.101	   1.059	   1.046	   1.006	   1.044	   1.029	   1.144	   0.978	   1.132	   1.156	   1.045	   1.042	   1.034	   1.051
 1882	   0.932	   0.957	   0.891	   0.982	   1.099	   1.030	   1.050	   1.081	   1.053	   1.024	   1.135	   1.097	   1.006	   1.102	   1.096	   1.081	   1.029	   1.537	   0.942	   1.077	   0.995	   0.958	   1.080	   1.030	   1.135	   1.179	   1.064	   0.925	   1.095	   0.968	   1.006	   0.885	   0.919	   1.020	   0.925	   0.983	   0.858
 1883	   0.940	   0.776	   0.874	   0.843	   0.695	   0.902	   0.859	   0.889	   0.884	   0.795	   0.843	   1.064	   0.915	   0.982	   1.009	   0.844	   0.852	   0.621	   0.805	   0.857	   0.880	   0.778	   0.702	   0.898	   0.888	   0.849	   0.834	   0.752	   0.644	   0.882	   0.886	   0.850	   0.904	   0.902	   1.064	   0.987	   0.988
 1884	   1.106	   1.097	   1.101	   1.122	   1.077	   0.959	   0.675	   1.059	   1.041	   1.124	   0.961	   1.148	   0.707	   1.080	   1.089	   1.130	   1.020	   0.974	   1.047	   1.064	   1.293	   1.076	   1.086	   0.945	   0.567	   0.918	   1.061	   1.183	   0.904	   0.992	   0.823	   1.095	   0.823	   0.959	   0.713	   0.924	   0.844
 1885	   1.357	   1.362	   1.458	   1.535	   1.132	   1.092	   1.098	   1.252	   1.071	   1.472	   1.391	   1.215	   1.003	   1.078	   1.023	   1.366	   1.252	   1.191	   1.259	   1.556	   1.336	   1.330	   1.086	   1.085	   1.062	   1.327	   1.201	   1.543	   1.351	   1.036	   1.020	   1.594	   1.421	   1.083	   1.104	   1.096	   1.140
 1886	   0.832	   0.694	   0.660	   0.794	   0.946	   0.985	   0.976	   0.814	   0.750	   0.774	   0.799	   0.774	   0.997	   0.749	   0.898	   0.776	   0.779	   0.809	   0.894	   0.659	   0.863	   0.711	   0.940	   0.979	   0.991	   0.836	   0.790	   0.750	   1.001	   0.952	   1.020	   0.759	   0.851	   0.933	   1.079	   1.008	   1.028
 1887	   1.114	   1.105	   0.869	   0.783	   0.983	   0.847	   0.794	   0.927	   0.986	   0.845	   1.144	   1.086	   0.899	   1.122	   0.996	   0.881	   0.907	   0.766	   0.805	   0.964	   0.930	   1.131	   1.002	   0.856	   0.797	   1.118	   0.915	   0.964	   0.896	   0.892	   0.925	   1.162	   0.843	   1.056	   0.994	   1.088	   1.019
 1888	   1.016	   0.892	   0.911	   0.852	   1.130	   1.008	   0.902	   0.999	   0.954	   0.944	   1.036	   1.010	   1.026	   0.958	   1.042	   1.296	   1.051	   0.809	   0.937	   1.078	   1.214	   0.881	   1.144	   1.026	   0.881	   1.022	   1.037	   0.944	   1.087	   0.933	   0.945	   1.156	   1.063	   0.957	   1.062	   1.003	   1.038
 1889	   0.860	   0.953	   0.891	   0.949	   0.833	   0.894	   0.976	   0.941	   0.831	   0.909	   1.083	   0.906	   1.040	   1.075	   0.998	   1.038	   0.875	   0.968	   0.849	   0.882	   1.033	   0.954	   0.812	   0.924	   0.960	   1.091	   0.847	   0.931	   0.905	   0.886	   0.938	   1.048	   0.988	   0.989	   1.108	   1.075	   1.074
 1890	   0.856	   0.856	   0.865	   0.885	   0.840	   0.864	   0.479	   0.874	   0.924	   0.827	   0.840	   0.916	   0.826	   0.803	   0.963	   0.687	   0.857	   0.913	   0.758	   1.072	   1.076	   0.848	   0.849	   0.816	   0.353	   0.860	   0.894	   0.909	   0.748	   1.012	   0.599	   0.824	   0.720	   0.994	   0.987	   0.959	   0.871
